,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20
407,0.001463450871072816,0.0028397605648395868,0.0073483034247680875,-9.661779067194515e-05,0.00789381917226799,0.002675653039746554,0.003992544376483643,-0.004314068946004842,-0.0007153985159555892,-0.004928507817739573,0.0015878988434565458,0.0022968908257061764,0.0008472671156923351,3.336421351129799e-06,-0.0016706579735459438,-0.00010162475010691316,-0.00021050813037762115,0.00012994915652172662,-0.000555302451663629,3.149044023770969e-05
416,0.002062050421409846,0.003589153095736415,0.006445109825844711,-0.0002934292235959171,0.007103626754658868,0.002594708044818524,0.0031352243872061294,-0.0016468430312133807,-0.001540284722326891,-0.001391010089647573,-0.00045047873483191996,0.0001628867403214146,-0.000275907507541787,-0.0007472779065125495,0.002678680102377254,-0.0004992249312535549,0.0007267398982340555,-0.0017553167013645385,0.0004964842363011722,0.0006273875817752035
424,0.0027155474871388098,0.0037519510571368707,0.007245237367155497,-0.000555205079577832,0.006609578169582855,0.00249509729629449,0.002302907432838871,-0.0004298140050898518,-0.0013596709283929093,0.000228102736529086,-0.0011874914896086563,-0.0007794639027335554,-0.00013132796881318876,-0.001154532269741622,0.001800890431308597,0.0005286927650657395,0.0006976391007941424,0.0015986268465968156,-0.00035994283597343314,0.00032345490126943
431,0.002623431984763116,0.005396711845794129,0.004602185354205478,-0.000935537474526037,0.006208121347098215,0.001863854129251397,0.0014208618707190006,2.965948586427492e-05,-0.0011647448028423773,0.000714277832713174,-0.0009699631651603703,-0.0004122143169483341,0.0007581651002527707,-0.0005870161739587716,-0.0005281853287577621,0.000698762249225406,-0.0004936697716926407,0.0017088145194651021,0.0004624120090760054,-1.020147763361368e-06
439,0.0028510989641844457,0.005102079554903509,0.006106842097954022,-0.0009142729436135567,0.005830499343161881,0.0016751659751347518,0.00124600670079545,-0.0006883206967548053,4.341746283308186e-05,0.00037775337846009983,-0.0007490431484804295,-0.00031705497188369775,-0.000103596448761736,0.0004993041608069267,-1.2268730599069033e-05,0.0004192573083162536,-0.00021991732416785074,0.00023169488317601556,0.0012204948938432118,-0.0013254156894886402
446,0.002524834545350085,0.006530195330269064,0.004042086634282498,-0.0009688757696714727,0.005384607969710241,0.001179013900553172,0.0010386783991152035,-0.0005685380134044387,0.0003931607905812594,0.0013057788725258713,-0.0009432840907435887,0.0002945149517935033,-0.0006580693405967133,0.000600424196972399,0.0004612970291148333,-0.0003950121609848005,0.0001824220298193381,-7.85380229316599e-05,0.0003461588366771499,-0.0006883423881792509
453,0.002550105523416612,0.0072932231021492445,0.0034162496690496465,-0.0011679391371299916,0.005168988915838427,0.00116600712655198,0.0006911326042221338,-0.0001396649789635181,0.0003500754713561509,0.0015621601264803322,-0.0010082712723166688,0.00034902957878599076,-0.00012315161031264642,6.142485298453801e-05,3.6867448380698705e-06,-0.00015970806054122844,5.098711397732882e-05,0.0003705740426709374,4.9449038482115705e-06,-0.0002594810211714331
461,0.0024667938998693462,0.007967548833025348,0.002426099456501376,-0.0012188222637312214,0.004954653484468383,0.0007932311524720993,0.000543874375481228,0.00015880866665442565,0.0002306470101187913,0.001297947013984454,-0.0007953198415080661,0.00010816832275225543,0.0005089836160505045,0.00047363502074859807,-0.000894230809987927,-9.079187570273344e-05,0.00027989454861987396,0.00014017258477563562,0.00012037185310214862,-0.00026798650539127154
468,0.0024988483424064232,0.008216583749294097,0.002307205145340596,-0.0013849665612095474,0.00473036648215922,0.0010145067853707531,0.00021264824178569573,0.0003245496658010471,-2.427061395331948e-05,0.0010551629704994465,-0.0005923156562639929,-3.713621986040556e-05,3.972509193359178e-05,0.000670113672652968,-0.0008709605838598019,-0.0002704746158753711,-0.0003644435572194838,-0.0006309635833891866,-3.4576107731477035e-05,0.00040220153390801717
475,0.002777407329644125,0.008264152744898588,0.0034806664649883645,-0.0013484430290218816,0.0046385657169690595,0.0011467056643514285,8.277818786959176e-05,0.00022354432400434473,0.0003512556674895221,0.001056939181528822,-0.0007817841875241583,-0.00012714913281159038,-0.00018392264723290065,0.00032027978207746277,-0.0001649372742427009,-0.00018211660989906153,-0.0002260393813654904,-0.0006786422924169729,-0.00023069876321512502,0.00031094902090895147
483,0.0025904713800670937,0.009059704424286814,0.0023724532742574614,-0.0013708821851366915,0.004372401307550843,0.0009087109929043716,-0.00013680800957781509,0.00028386459151009095,0.00039643262642904026,0.0012132374615985088,-0.0006926753509587371,0.00012900286864593656,0.00012938724611164426,0.00030233281002405265,-0.0006821042321569796,-1.7515440904716183e-05,3.766839789061005e-05,-9.783029181743312e-05,-0.0004885001729176343,0.0006106336922465274
490,0.003043093623258513,0.008691630184972845,0.004316761031708092,-0.0013177501042746012,0.004320086308997309,0.0011039510023224466,-0.00011408759785714544,0.00018020285497732705,0.000402335476428791,0.0004574288342593967,-0.00043521399460074117,-0.00023230005201708574,0.00015184750452328365,0.00039151921360562896,-0.0008441369993573539,0.0002861984755253168,-0.0002139231035370497,-0.00035749413326857746,-0.00025053553937614886,6.55298217574529e-05
