,Comp01,Comp02,Comp03,Comp04
407,0.0014634512550255557,0.002839789141591689,0.007348287272937468,-9.660715202354377e-05
416,0.002062054137563683,0.0035891622783913242,0.006445083788835533,-0.00029342011634319866
424,0.0027155501192291783,0.0037519658828966337,0.00724522899344654,-0.0005551978751662011
431,0.002623424937559967,0.0053967177845802156,0.004602177790347922,-0.0009355321420353277
439,0.0028511004302007865,0.00510210295778059,0.0061068493594979255,-0.0009142719841727637
446,0.002524824591475294,0.006530219492647614,0.00404206181080674,-0.000968870910916759
453,0.0025501030104374744,0.007293231793471851,0.0034162429728167524,-0.0011679314782303512
461,0.0024667902815311113,0.007967559199804458,0.0024260879991389,-0.0012188187327341197
468,0.0024988402012934697,0.008216598662685265,0.0023071869277006703,-0.0013849659552611338
475,0.0027774063334679387,0.008264189320917603,0.003480644490290081,-0.0013484357506657059
483,0.0025904735954666446,0.009059697169390977,0.002372427789705987,-0.0013708780836470711
490,0.003043086459636803,0.008691643733751819,0.00431671235876085,-0.0013177467230034983
497,0.0028582364270111063,0.009877382587107433,0.00236934417106,-0.0015177281550634132
505,0.003619874425238531,0.010164620443816658,0.0036690119938536164,-0.0016841579075095763
512,0.004151465111276789,0.011416015562773694,0.0020109414334046334,-0.0021024600231295295
520,0.005877193250776516,0.011207005765049724,0.0034303138313847726,-0.0024208985015776742
527,0.007775879373818109,0.012008325455060694,0.003227626914875232,-0.002948264477593161
535,0.009898307818002848,0.01230105189995032,0.0042591115571466,-0.00328973578052739
543,0.011278369608119905,0.012261921073227816,0.00559043378526689,-0.0034261820751066204
551,0.011720503494116139,0.012962410351730437,0.004878825806368959,-0.003330163546949793
559,0.01173326514265946,0.01347852875583688,0.004684312336872878,-0.003228428615973124
567,0.011098852501948477,0.01426248608250297,0.004700175526014153,-0.0030317165835795786
575,0.010019574173565249,0.015592626615125485,0.004032014444444134,-0.0026443376259008234
584,0.009240877084980812,0.016393602148559856,0.0041219264410309875,-0.0022442690614174303
592,0.00854178231390538,0.017164989174929215,0.0035186263965756594,-0.0020106596547444996
601,0.00860040500843064,0.017938611352687598,0.0035289112445538087,-0.0017092033304970736
610,0.008405900006877475,0.017971732503831727,0.004288076446753693,-0.00137530065043773
619,0.008010473971216155,0.01824085249512336,0.004696770651563091,-0.001051557762165769
628,0.007889628309500754,0.019062517736505448,0.004481529262163179,-0.0007832690993691334
637,0.0077131959906151576,0.019597596853697555,0.0043061993535986895,-0.0005884670645977829
646,0.007294750959866287,0.01961313839732372,0.004693436293125479,-0.0004145960462937349
655,0.006722231321536264,0.019479026327807968,0.004802458420745622,-0.000189673421341671
665,0.006457548086312785,0.01981707617816825,0.004956757656770024,6.852642984593363e-05
674,0.006321708661168426,0.0197344024523421,0.005169840148882139,0.0002528807287473937
684,0.007016082362559555,0.020486692894699673,0.005279810746022026,0.0004905576920425337
694,0.010376030959012862,0.022551617423429707,0.0053724775293491735,0.0009581588545982472
704,0.017874667670999208,0.024539153754668364,0.0029227115932809783,0.0010945937844015457
714,0.029032672797275925,0.022024191870713316,0.004349515417496688,0.00026288757290343943
724,0.044191364464234106,0.01623144990330202,0.00692860218584997,-0.00136204089746151
734,0.06149472989100775,0.01318844582165819,-0.006703243496850972,-0.004684650285796695
744,0.07554518938181237,0.004915652213053808,-0.007945694859442486,-0.008071972138819954
754,0.08447018226261566,-0.0032520814415590827,0.000854569871735178,-0.009101620202467967
765,0.0879771439489007,-0.005653787069885992,0.001385636167620037,-0.008430590424942893
775,0.09647346966069421,-0.0014536197689899548,-0.013815942596623505,-0.010260691923908808
786,0.09132043586761995,-0.00405152506762863,-0.005993806362168737,-0.008928613026345688
796,0.0931400938390038,-0.004567269453416469,-0.005362183939716465,-0.008444892558346555
807,0.09646129301132012,-0.006924998440837118,0.0008258268016125411,-0.00744435675904263
817,0.09403301201537814,-0.005691012344196844,0.0004881559540291188,-0.006104992324841476
828,0.09746617713979806,-0.0035426623202856953,-0.006544604612114575,-0.0052815171913915505
839,0.0978625899101692,-0.0025801284169875965,-0.009533536569794302,-0.0045141319161295665
849,0.09636942647511693,-0.003581481838347805,-0.006394779063505419,-0.003941591671049977
860,0.09564136250907074,-0.0040705044443030474,-0.004742499120731124,-0.0032145057322949693
871,0.09473306824342151,-0.004370627642687151,-0.0033659633068963764,-0.0023073891858917026
881,0.09745485271143592,-0.0057604058068101115,0.000406679872633884,-0.0013434029828288516
892,0.09890289898833872,-0.008134454982779689,0.008199684798232876,-0.0003052900287494964
903,0.09774221008112559,-0.00762974824338021,0.010154583338560067,0.0011295426161893162
913,0.09631844488085133,-0.004092993322206526,0.0022986241856708116,0.0020621932709451564
924,0.10440422395345691,-0.013022911734118358,0.024020323061772243,0.004339808333374157
934,0.09710575987386379,-0.02017368958044554,0.05048655174495906,0.006390492026836622
945,0.09476920819209766,0.0008448497112383797,0.0027437917785772437,0.009511085926641936
956,0.08786093133616127,0.012446527855385829,-0.021968356023658535,0.0120883983956895
967,0.08448473501972646,0.014762083477845503,-0.026883096043621182,0.011431296270280035
977,0.08556111182445249,0.00975134886534741,-0.014178449686788963,0.011153223886463223
979,0.09229318837506269,0.002962175998109431,0.003515140807514162,0.01303085399101219
989,0.09104823069863424,0.004504429523357833,-0.0018341824100138512,0.012447573635307066
999,0.09115145777425941,0.002795146023931068,0.0009693113725453456,0.012221263593740785
