,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20
646,1e-05,0.045792,1e-05,0.05687,0.194842,0.205234,0.039216,0.162844,0.018372,0.012543,0.110277,0.022994,0.036646,0.03534,0.038891,0.075573,0.102815,1e-05,0.195698,0.053182
655,1e-05,0.041657,1e-05,0.057588,0.191257,0.234165,0.036393,0.160464,0.016281,0.013169,0.119265,0.020943,0.042756,0.031235,0.041061,0.075589,0.111482,1e-05,0.191235,0.050881
665,1e-05,0.041047,1e-05,0.055985,0.194614,0.290028,0.040513,0.162112,0.013779,0.014237,0.141833,0.020054,0.038638,0.033127,0.038256,0.074814,0.109468,1e-05,0.191401,0.05007
674,1e-05,0.042435,1e-05,0.052903,0.090013,0.164477,0.040955,0.162753,0.012009,0.01648,0.085191,0.018727,0.036872,0.034058,0.038389,0.071729,0.100893,1e-05,0.005971,0.049247
684,1e-05,0.049928,1e-05,0.057557,0.182223,0.402441,0.047761,0.170214,0.013977,0.019242,0.188037,0.021381,0.041972,0.038636,0.038846,0.076105,0.097398,1e-05,0.193738,0.05258
694,0.00072,0.071138,0.00043,0.07512,0.205783,0.464012,0.069993,0.185275,0.029709,0.025528,0.199817,0.041254,0.057632,0.045289,0.045963,0.09188,0.144121,0.002884,0.212269,0.076387
704,0.00083000003,0.127733,0.0012299999,0.1084,0.213779,0.547723,0.105608,0.210636,0.06334,0.032456,0.237903,0.082809,0.085422,0.068696,0.088501,0.121452,0.190738,0.030076,0.240721,0.111109
714,0.00152,0.217319,0.0017599999,0.133577,0.219852,0.585458,0.143709,0.244175,0.118212,0.036027,0.259632,0.13335,0.108098,0.087068,0.127052,0.154885,0.191089,0.069947,0.262433,0.14136
724,0.0021600001,0.355917,0.0021055,0.17499,0.249516,0.578439,0.183902,0.300252,0.200839,0.042145,0.254398,0.209645,0.135254,0.098268,0.173841,0.209518,0.2112,0.146456,0.290328,0.179155
734,0.0024500003,0.505089,0.000591,0.255909,0.269871,0.71545,0.249928,0.36112,0.258366,0.046845,0.330785,0.334974,0.162426,0.14551,0.247178,0.281368,0.258579,0.260075,0.338397,0.238377
744,0.0032900004,0.622019,0.000154,0.254017,0.275502,0.783124,0.314275,0.420813,0.290593,0.052308,0.401984,0.435529,0.156301,0.204517,0.261737,0.284711,0.294591,0.398337,0.369216,0.259621
754,0.0037800004,0.697246,5.9e-05,0.235325,0.273335,0.808469,0.336065,0.473091,0.315618,0.061707,0.423697,0.479361,0.137125,0.228748,0.244506,0.275654,0.286625,0.497215,0.375655,0.257385
765,0.0041700006,0.703548,0.001087,0.251652,0.285191,0.803693,0.376043,0.49041,0.315724,0.064652,0.420294,0.489599,0.142858,0.249943,0.261722,0.286489,0.349874,0.555932,0.364813,0.266157
775,0.0043900004,0.778576,0.000875,0.278233,0.304326,0.869016,0.421103,0.54168,0.351171,0.07483,0.499626,0.619391,0.160887,0.277989,0.288077,0.317886,0.426413,0.636866,0.445918,0.32211
786,0.0050500003,0.74641,0.000237,0.262745,0.278981,0.839887,0.401465,0.507774,0.338155,0.070619,0.461723,0.556229,0.155516,0.25658,0.268912,0.313053,0.407004,0.608087,0.408585,0.294225
796,0.0052400003,0.749416,0.000154,0.272023,0.28217,0.835874,0.392508,0.516182,0.361929,0.079835,0.46006,0.568593,0.161672,0.242161,0.28102,0.325438,0.420996,0.622034,0.409912,0.301023
807,0.0053800005,0.778592,0.000248,0.270924,0.288579,0.832578,0.386206,0.53164,0.3953,0.094743,0.456794,0.571684,0.165564,0.22681,0.26872,0.334161,0.426902,0.650538,0.413742,0.304422
817,0.0062100003,0.773251,0.00026,0.289754,0.278294,0.775967,0.355077,0.515862,0.405142,0.108843,0.403555,0.562502,0.187304,0.189319,0.279012,0.365224,0.428229,0.644999,0.402132,0.304161
828,0.0066600004,0.785107,0.000319,0.320943,0.292927,0.790036,0.373907,0.531456,0.416571,0.134997,0.426749,0.586491,0.190925,0.196017,0.316086,0.386225,0.481346,0.66363,0.41059,0.325889
839,0.0071400004,0.787442,0.000532,0.316274,0.297459,0.841169,0.418601,0.543404,0.393072,0.159991,0.479454,0.598885,0.180213,0.236011,0.316234,0.372943,0.530694,0.671504,0.422155,0.335066
849,0.0071500004,0.773236,0.000308,0.292027,0.292088,0.504082,0.450477,0.540307,0.370031,0.183062,0.180911,0.589054,0.168853,0.266117,0.295105,0.346577,0.531411,0.662211,0.420135,0.328085
860,0.0073100002,0.758587,0.000319,0.278996,0.287343,0.502342,0.46215,0.536049,0.362585,0.206897,0.177935,0.584787,0.160314,0.274846,0.281093,0.332292,0.532006,0.655146,0.416637,0.326124
871,0.00787,0.755947,0.000272,0.270695,0.279637,0.501717,0.450507,0.53431,0.359747,0.226413,0.177432,0.577504,0.157719,0.271794,0.275187,0.324025,0.532738,0.655131,0.412385,0.320398
881,0.00854,0.77908,0.000284,0.271809,0.281178,0.502693,0.457694,0.548959,0.379416,0.25066,0.180743,0.100752,0.165307,0.267735,0.266934,0.328432,0.538781,0.677272,0.417119,0.332504
892,0.00896,0.79733,0.000154,0.259678,0.273533,0.83064,0.445151,0.55343,0.413275,0.264134,0.460807,0.582706,0.164357,0.230182,0.251268,0.334298,0.543236,0.691615,0.41344,0.294657
903,0.00917,0.794568,0.0014635,0.279484,0.267262,0.753628,0.378149,0.537667,0.462654,0.272557,0.387503,0.572031,0.183004,0.168688,0.26181,0.371348,0.499611,0.685359,0.399191,0.803923
913,0.009930001,0.784054,0.000993,0.309682,0.262333,0.72871,0.344427,0.529259,0.483436,0.275563,0.370779,0.587742,0.204383,0.141833,0.279573,0.410905,0.457176,0.679423,0.400006,0.390117
924,0.298222,0.841504,0.000438,0.288319,0.273671,0.725963,0.306996,0.57232,0.581567,0.299229,0.36408,0.567327,0.194124,0.123613,0.226478,0.394705,0.37586,0.735378,0.394065,0.307325
934,0.584894,0.846342,0.00039,0.237171,0.243305,0.5084,0.188037,0.560845,0.730251,0.279973,0.208942,0.472757,0.224207,0.04741,0.183882,0.393672,0.284092,0.709194,0.330677,0.265713
945,0.634394,0.798886,0.001242,0.495308,0.239155,0.567483,0.141985,0.539437,0.335561,0.287098,0.242115,0.548781,0.401086,0.020508,0.34817,0.809303,0.260746,0.656565,0.34574,0.355251
956,0.634394,0.729137,0.003465,0.623438,0.237995,0.603983,0.200748,0.517601,0.602792,0.285359,0.290669,0.567251,0.389228,0.048646,0.480744,0.811051,0.264317,0.589654,0.37873,0.398497
967,0.635244,0.661601,0.002838,0.445884,0.232151,0.694438,0.313588,0.478843,0.450629,0.288899,0.363287,0.569679,0.239083,0.113161,0.394384,0.564392,0.233127,0.532753,0.405313,0.393503
977,0.635354,0.648142,0.000509,0.363684,0.22475,0.774151,0.38996,0.472236,0.409674,0.296162,0.428794,0.540322,0.191921,0.173114,0.334513,0.444429,0.257938,0.519707,0.407967,0.373318
979,0.636094,0.697093,0.000589,0.980774,0.246998,0.868864,0.006592,0.494163,0.417548,0.322087,0.497047,0.542901,0.874968,0.004211,0.556344,0.984192,0.171481,0.569436,0.415915,0.358816
989,0.63621396,0.67184,0.001002,0.977111,0.226993,0.879545,0.007309,0.481529,0.370504,0.315084,0.512825,0.543236,0.744564,0.00415,0.53016,0.976822,0.167788,0.549447,0.420661,0.364965
999,0.63659394,0.665675,0.000595,0.920363,0.217334,0.878645,0.003647,0.487663,0.359762,0.315038,0.511467,0.534951,0.709453,0.003189,0.498009,0.972366,0.17113,0.5552,0.41033,0.355352
