,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20
646,-1.7974893,0.47240576,-0.6710397,-8.2644415,0.8663607,-14.569246,-10.042534,-11.197853,1.2110636,1.303244,-1.4629118,-12.360848,-6.209917,-11.537522,-5.162737,-2.9779916,-1.4321294,-0.712186,0.2552099,-0.8353304
655,-1.9695497,-0.14169028,-1.0691274,-7.780765,1.0890586,-14.481301,-9.874045,-11.734041,1.336438,0.46137726,-1.5024445,-11.896056,-5.5389867,-10.918203,-5.9791126,-3.087624,-1.4889826,-0.54949284,0.2531239,-0.96389025
665,-1.9195635,0.20014337,-0.5535712,-7.495985,1.5835724,-14.136711,-10.163757,-12.152553,1.6901382,0.4391251,-1.527033,-11.499523,-5.0919104,-10.631014,-6.1892757,-3.274739,-1.7791424,-0.2469258,0.34428367,-1.2156435
674,-2.214571,-0.13557763,-0.31034172,-7.7931814,1.7046832,-14.124451,-10.031428,-12.165195,1.7070099,-0.075932756,-1.4157554,-11.264959,-4.895635,-10.402675,-6.273548,-3.3511615,-1.9712667,-0.1230027,0.40152612,-1.1872318
684,-2.5548725,-0.61229086,-0.6862662,-7.86349,1.699038,-14.105376,-10.378065,-11.474641,1.984929,-0.52924186,-1.1427538,-11.703426,-5.56787,-11.262451,-6.1168184,-3.693255,-1.0696529,0.06132685,0.4386252,-1.8270212
694,-1.1975857,-1.2159328,-1.3912922,-7.753594,1.4542363,-13.263181,-9.285988,-8.986883,1.3883295,-1.0064511,-1.6623751,-11.046647,-4.549867,-10.245191,-3.6108794,-2.665863,1.0028986,-0.09313013,-0.22433075,-1.4838979
704,-0.8125909,0.016644178,-0.70315874,-7.2400618,1.1176927,-9.941776,-7.3072305,-5.433005,0.8467534,0.7349047,-1.1443882,-8.469157,-3.3476226,-6.365317,-2.181052,-1.9384687,2.579339,0.0076887677,0.26069126,-0.918075
714,-0.9089038,0.5601032,-0.25979716,-6.0505505,0.59482855,-6.8143888,-5.4999413,-2.569184,0.30912188,1.4335632,-0.13190672,-5.3655095,-1.774649,-3.0094736,-1.1794244,-1.4120473,3.320866,0.8654264,0.4414094,0.3721043
724,0.020706944,-1.071473,-0.7456445,-5.323208,0.8535214,-3.0261889,-3.796475,-0.78112525,-0.7158907,0.54757476,-0.12629017,-1.474392,-0.42874286,0.05037258,0.6637719,-0.35812923,3.1252477,1.7373681,0.63824165,2.0672755
734,0.31424072,1.5323491,1.4333565,-6.029492,-0.73520297,-0.3416072,-2.395204,0.2043589,0.08814695,1.9120398,0.9608925,-0.13338989,-0.80245286,0.31044662,3.6049154,0.30140755,1.8173105,-0.19924247,0.15241367,0.8712369
744,0.3549803,1.6258614,1.3338382,-6.5952697,-1.0889056,1.1267575,-1.209518,0.48862603,0.09526065,2.3020797,1.3461336,0.7372315,-0.6928318,0.74841505,5.438784,0.29191062,0.453167,-0.14954013,0.2201293,1.2033801
754,0.5326612,0.58599216,0.010021057,-6.620847,-0.88108927,2.1730733,-0.17794438,0.46437398,-0.46487594,0.74004996,0.69508934,1.5957344,-0.06303346,1.3204314,6.1109495,0.7509219,-0.098609194,0.7472112,0.39483044,2.0182846
