"","Comp01","Comp02","Comp03","Comp04","Comp05","Comp06","Comp07","Comp08","Comp09","Comp10"
"407",0.0166401138025668,0.00801463886318847,-0.000950896129441387,-0.00647102005881707,0.00554403068206964,-0.0047418290176169,-0.021829078547093,-0.0132514876809358,-0.00470568016687864,0.00232865625886626
"416",0.0118657245069483,0.00404965191214499,-1.13587623669586e-05,-0.00420565819455175,0.00568846504229946,-0.00369790443501883,-0.0173987918741346,-0.0147458262954106,-0.00266263654715191,0.00245114593695186
"424",0.00998194366776541,0.00222702780662391,-0.000202003923913556,-0.00511885346163125,0.00551323743377482,-0.00338896269607276,-0.0174321016253172,-0.0205262249785684,-0.00260802948016607,0.0022290758525947
"431",0.00844484821896534,0.00139785690958657,-0.000571314158850506,-0.00338821548298176,0.00377721275760802,-0.00510903445048268,-0.0150719575587524,-0.0156815759012717,-0.00171456716871544,0.0015001998857173
"439",0.0102246340279971,0.00258544129772323,-0.00145697426252135,-0.00602177295451431,0.00380783404913903,-0.00377955415374254,-0.0118498397434047,-0.0196719311126073,-0.00266104006200953,0.00183090784744285
"446",0.010830800252473,0.0041163769934882,-0.00186092634605471,-0.00438747080942768,0.00301450792209233,-0.00500755078537659,-0.0107558197734129,-0.0151966985224089,-0.00425078257691365,-7.11381594047058e-05
"453",0.0099611674726064,0.0035952942183622,-0.00223773337553539,-0.00386466236876431,0.00264069861288941,-0.00606471945247193,-0.00946017574482577,-0.0150808655648708,-0.00385745378407542,8.26476011856317e-05
"461",0.00880807928354785,0.00308081259980433,-0.00247073980577824,-0.00287556273181011,0.00240671305152914,-0.0073194182400468,-0.00893087623010995,-0.0141941844942343,-0.00279919152621861,1.44125882351168e-05
"468",0.00728761510966941,0.0018550094178776,-0.00295805581806815,-0.00262676174323966,0.00192947333675735,-0.00764447234561313,-0.00718039058236026,-0.0140567173849329,-0.0010712972976396,-0.000540866618532169
"475",0.00792232183140407,0.00200757648185772,-0.00318032120326855,-0.00388237074142989,0.0020804541581959,-0.0079810814690501,-0.00927423458752183,-0.0190632791528715,-0.00282424437073002,-0.000474651874620973
"483",0.0085980424313295,0.00292620162350549,-0.00377344023438959,-0.00358922153538237,0.00176970107360109,-0.00841028389663964,-0.00663925058988671,-0.0151653858194328,-0.00287193787188159,-0.000738969207780846
"490",0.00825725251884777,0.00183189771303078,-0.0039398086729052,-0.00519331137927696,0.00227940609045935,-0.00902181195258006,-0.00836495895827334,-0.0224402091200466,-0.00307666680433446,-0.000263366885310747
"497",0.00830181575659974,0.0024406777773523,-0.00479989501202252,-0.00426403126105948,0.00133033509756935,-0.00913618255001518,-0.00565214819090435,-0.0173818892328534,-0.00320035010727827,-0.00128090316512632
"505",0.00932288595011528,0.00214413998150754,-0.00529410584368299,-0.00545767766606315,0.00203839732510305,-0.00932023963761741,-0.0061600211618858,-0.022629045573859,-0.00310806268843505,-0.000590301894348027
"512",0.0105672083919054,0.00259185033216254,-0.00595419364005696,-0.00468709269172764,0.00145061066984446,-0.00934301931225062,-0.00284475272291,-0.018792811191315,-0.00247572475913426,-0.000596649903552462
"520",0.01198643747535,0.0013674208616586,-0.0063021558579174,-0.0052968883194525,0.00219453068407095,-0.00916446507338795,-0.00273232987849632,-0.0253035096925224,-0.000849361622889435,-3.06784080396041e-05
"527",0.0156955296662339,0.00177085327057997,-0.00715809444415235,-0.00543151893534107,0.00235143600510556,-0.00925473630953826,-0.00133544771792687,-0.0272648928711556,4.81553395720987e-05,0.000230224592817278
"535",0.0199217789822942,0.00194005928310381,-0.00797683040444575,-0.00655708517595524,0.00329863611829045,-0.00904616441346226,-0.00138384932080566,-0.0321934613125669,0.000358005716377796,0.00141922269903321
"543",0.0228899082881008,0.00205838930300784,-0.00863766442266208,-0.00730546814500035,0.00386155438053609,-0.00871264143390615,-0.00192650174359726,-0.0359516784437363,0.000415398145222073,0.00212509018839237
"551",0.0244358246144657,0.00266568083950508,-0.00931557712906734,-0.00732683176289789,0.00376254002722517,-0.0092451070633033,-0.000970531305584213,-0.0348592976346096,-0.00106774137528119,0.00219128841099221
"559",0.0244015881582595,0.00262130225296966,-0.00997361695269514,-0.00747841193848265,0.00366614564832026,-0.00993387234348537,-0.0010530339027928,-0.0350139393132085,-0.00129096824482935,0.00225891167238041
"567",0.0234757902191179,0.00275003624067549,-0.010818492547853,-0.00829179945068824,0.00324287220160082,-0.0108829939730623,-0.000668377509095588,-0.0355101818168084,-0.002627976610099,0.00204102381454656
"575",0.0228524290912687,0.00357668594774453,-0.0119443518727929,-0.00866689136213266,0.00279072073231437,-0.0119051355713355,0.000805813918289361,-0.0320677054671548,-0.00425364251778802,0.00162044461007914
"584",0.0217291577470986,0.0035910419928102,-0.0127721751225985,-0.00941709815735681,0.00261080081700792,-0.0124407609215853,0.00177430487017698,-0.0312418106201244,-0.00544721074542641,0.00165751227510905
"592",0.020706512685217,0.00363522511510944,-0.0135199997590285,-0.0093464078802003,0.0023259399942869,-0.012533243169607,0.00264444549959775,-0.0292889125737851,-0.00569332276416892,0.00106208728992038
"601",0.0215465789177318,0.00406970665744644,-0.014572114365045,-0.0101284075832956,0.00229178563517843,-0.0134310324209934,0.00381034128145746,-0.0293125671251858,-0.00664086886422336,0.000892429993457579
"610",0.0211290284612103,0.00376580510210036,-0.0151289012377752,-0.0108993404210482,0.00242889347539737,-0.0138062929941589,0.00415615500456504,-0.0311488961168846,-0.00748501899643207,0.000730483214242882
