,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20
Neuron31,1.1579924,0.34702414,0.9783359,-0.5651476,0.1433134,-0.17492798,0.34484082,0.713614,-0.6062788,-0.015092204,0.44310656,-0.9327858,-0.62999004,0.10710297,0.8790457,-0.10208558,0.84018296,0.8960581,0.07249156,0.5018657
Neuron32,0.8319415,0.6639581,-0.5412617,1.3344629,0.60631514,2.0809624,-1.7597156,-0.804332,1.4258814,2.1371627,0.40142125,1.4627428,0.72064435,0.6544334,0.21729675,1.0445713,0.37874684,-0.4008853,0.96852964,0.39434806
Neuron33,-1.064387,-0.12247198,1.3496858,0.6178257,0.48396558,-0.4061125,0.6586221,-1.4173985,0.9582601,-0.2909417,0.65747833,0.92329615,1.3131528,0.73309654,0.36443353,-1.0559056,-0.59311736,-0.9345328,0.07126077,0.6600473
Neuron34,0.7457562,0.70979625,-0.2985014,1.3137394,0.2510376,-0.49973583,-0.5108523,-0.10484894,0.25677973,0.5761123,0.8880823,0.15169632,0.83979917,0.54378814,-1.5959266,-3.309081,1.0287305,0.4805713,0.7918774,-0.5147214
Neuron35,-0.28746712,0.16204372,0.9577822,0.9761896,0.5567726,-0.5483737,1.0022494,-0.54506195,0.14884506,-0.419347,-0.38435158,0.54066145,1.3297442,0.32866135,0.6262525,-1.1896253,-0.2414822,-0.59211636,0.16542482,0.76495653
Neuron36,-1.5203068,1.4785868,-0.2617458,0.27414784,0.39024147,-0.19770919,-0.26925516,-0.049567077,0.11161166,-0.72559804,-0.44395584,-0.6899279,-0.81320983,0.27276897,0.096804485,-1.278607,0.8803038,0.73542655,0.64594686,0.658162
Neuron37,1.1824592,1.1900562,0.05102926,1.7369907,1.4341567,-1.7240883,0.2810919,1.451618,-0.3684469,-0.50104076,-1.4861089,0.49962646,-0.37829033,-0.7341641,1.6734872,-1.1166034,0.16114864,1.2727666,1.5556266,1.83526
Neuron38,2.4736881,-0.55479944,0.7316001,0.5118636,0.2072584,-2.400573,2.477415,1.9259001,-0.90729207,-0.7468232,0.0012899177,-0.39983767,0.08086357,-0.74187547,1.4545408,-0.68155086,-0.878341,1.3945826,0.51255214,0.52596277
Neuron39,-0.23007192,-0.026935315,1.345563,-0.12896526,0.1486515,-0.06267741,1.5308409,-0.16098765,-0.028279698,0.059159093,1.1305536,0.44083273,1.1009698,0.5514781,1.2017735,-0.16938664,0.08524353,-0.33450451,-0.4183357,-0.13128334
Neuron40,-2.0582767,0.6465099,0.5334969,-0.82667917,0.02132729,0.022183862,2.1224456,0.19956441,-0.17413521,-1.7426152,0.06729028,-1.0496486,-1.0133013,0.8017835,-0.10416113,-0.3180269,1.0270115,1.039024,-0.3524817,0.41209182
