,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30
796,-0.654257,0.3768151,-0.036188327,0.2059495,-8.967325,-0.9176538,0.69329727,-0.083146565,0.5484412,0.6250245,0.2439185,-0.21999271,-0.72475004,-7.8952117,0.2868923,-0.23295844,-1.6411349,0.40827543,0.026579391,1.8776871,0.1419913,-0.7147262,-3.1412067,-0.4011992,5.7654605,0.14378482,0.2715948,0.511172,0.15534239,0.01315763
807,-0.20803222,0.23262705,0.054470573,0.5065827,-8.623057,-1.1706294,0.81194085,0.2022506,-0.05427869,0.30636162,0.6166468,-0.16897531,-0.37366745,-8.1044445,0.19062476,-0.37563458,-0.85831916,0.22109644,0.06667466,1.6915674,-0.13144815,-0.4771187,-2.4488785,-0.18116622,6.208284,0.5813367,-0.03458002,0.7056403,0.5131739,-0.50653845
817,-0.6798542,-0.07166833,-0.08648869,0.082385555,-8.353364,-0.9325364,0.8568993,-0.33317405,-0.6166741,-0.38408184,-0.029116863,-0.40069747,-0.09721813,-7.8857207,-0.32108673,-0.98754144,-0.15229075,-0.84427524,-1.1821986,0.27817866,-0.9203994,-0.6781417,-1.1226466,-0.13253035,5.4557695,0.6557206,-0.5982524,1.029456,0.4037714,-1.5011306
828,-0.40631518,0.3705697,-0.10608176,0.006876427,-8.366104,-0.3536582,1.080033,-0.23705593,0.44158888,0.2333988,-0.19025019,-0.08637125,-0.0046038106,-8.049925,-0.25981072,-0.73322284,-0.037835144,-0.3214866,-1.0105748,0.38865623,0.04754194,-0.4255466,-0.752227,-0.20153621,5.1307817,0.37402597,0.15290937,0.8056715,-0.14255092,-0.5366975
839,0.1057258,0.7022025,-0.3048357,0.15907724,-8.842699,-0.18004248,0.90706116,-0.16095321,0.90626186,0.90517527,0.34617358,-0.111858875,-0.082051165,-8.321863,-0.16664429,-0.41628265,-0.62343764,-0.011344965,0.35493696,1.3881726,0.63559604,-0.27821139,-1.5016196,-0.35239995,6.237367,0.16763227,0.5751919,0.86613554,-0.14933352,0.38400632
849,0.051128693,0.52764827,-0.014951943,0.13804486,-8.881787,-0.2708719,0.99280196,0.11434437,0.5334823,0.5598876,0.26304463,-0.12242853,-0.04053733,-8.250968,0.111447655,-0.38325113,-1.1512395,0.35621387,0.45409334,1.8696312,0.43782738,-0.24035455,-2.3199167,-0.57214457,6.599513,0.21633068,0.4912013,1.042169,0.007397136,0.21023807
860,-0.017984442,0.49013078,0.15165745,0.30734324,-8.810234,-0.25734732,1.1436282,0.2357698,0.49515516,0.80181366,0.45765135,0.23080002,-0.24734561,-7.8521194,0.50591224,-0.16624084,-0.922362,0.66167575,0.5806842,2.0235093,0.47982326,-0.17514937,-2.3564916,-0.47883102,6.665252,0.33899322,0.17886008,0.98954856,0.6163413,0.26947403
871,0.19303603,0.7844344,0.072476186,0.49565345,-8.658022,0.033029255,1.1219808,0.71176225,0.39421406,1.0431734,0.6707598,0.20700192,-0.065814584,-7.768711,0.53675914,0.08859673,-0.89018583,0.69438285,0.6598885,2.1444428,0.53337866,0.1419124,-2.3783886,-0.3730676,6.760383,0.45611748,0.16183613,0.9414485,0.57492524,0.67945236
881,0.4009236,0.40512434,0.30261493,0.61670065,-8.840807,0.18069279,1.2059076,0.7702157,0.2788252,1.2343904,0.98313725,0.5621479,0.086703405,-7.763558,0.5261902,0.093701705,-0.675542,1.0041636,0.8051308,2.2472613,0.5997332,0.3067602,-2.346374,-0.07273727,7.3015227,0.44307935,0.0742256,1.2532827,0.7205849,0.31362882
892,0.13672507,0.04287769,0.67557734,0.471565,-8.407872,0.39519337,1.0592593,0.83569103,-0.45969966,0.8735343,1.1502981,0.5096414,0.3192575,-7.66032,0.5908216,0.07239241,0.03439419,0.9903277,0.5935779,1.6930473,0.16156803,0.41295004,-1.2843503,0.10152321,7.2964687,0.59019315,-0.3111257,1.7961683,0.87495077,-0.15874529
