,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30,Neuron31,Neuron32,Neuron33,Neuron34,Neuron35,Neuron36,Neuron37,Neuron38,Neuron39,Neuron40
483,0.46258238,-6.181538,-3.6362915,-10.339383,-5.924383,-9.504666,-10.665821,-1.4549643,-3.4960446,-0.21704325,-5.6390142,-5.7440104,-6.19444,-3.8891065,-2.5966616,-10.990933,-4.667755,-6.8303523,-5.4673963,-0.28317782,-4.047215,-4.2390866,-0.6984332,-10.615185,-5.5016336,-4.481462,-3.9363816,-3.8614383,-6.3903127,-5.426226,-5.604766,-0.30061468,-2.3537636,-5.436699,-4.0135093,-3.9224188,-6.9123583,-8.717289,-9.533751,-5.0766006
490,-2.3712494,-2.7391346,-1.8769876,-8.725049,-4.6394987,-8.864267,-9.267791,-2.1301606,-1.88657,-1.8002443,-3.2012115,-4.2207184,-5.9092016,-3.668889,-0.84658885,-7.8666096,-4.5038776,-5.5261593,-3.89214,-1.1291786,-3.0294023,-1.9283198,-0.076300986,-11.13684,-5.0997043,-1.5896169,-1.428366,-1.6277423,-4.363234,-5.2034473,-4.4268904,-0.360661,-0.31099477,-4.702825,-0.7824919,-3.0372472,-4.6451716,-7.52153,-8.616192,-3.1710784
497,0.18260537,-5.1294994,-2.3086994,-9.45295,-5.3025656,-9.102655,-9.8222885,-2.6062963,-2.5928373,-0.45281252,-3.7683778,-3.8870864,-6.012876,-3.207221,-1.4379873,-9.1798315,-4.5840487,-6.0714025,-4.77282,0.24582973,-3.1476042,-3.1404848,-1.2965443,-9.950389,-4.902973,-3.615526,-2.027516,-2.3000665,-5.5990095,-4.3456936,-4.5954556,0.33664992,-1.1512142,-5.1642847,-2.6116157,-2.513352,-5.941733,-8.212676,-8.7741995,-3.7448416
505,-1.9100132,-4.1794286,-1.973432,-8.754294,-5.2598286,-8.743004,-9.535495,-2.7239535,-2.2601051,-1.8768883,-2.640633,-4.094745,-5.294682,-3.1539671,-0.88181806,-9.148975,-4.270772,-5.8665333,-3.7564156,-1.2998222,-3.0225093,-2.127607,-1.0736232,-10.608943,-3.534068,-1.2187421,-2.9085526,-1.1935849,-4.9003987,-4.669938,-4.5271726,0.11686905,-0.96548533,-4.433294,-2.2732315,-2.973791,-3.2981339,-7.3092475,-8.835274,-3.6719308
512,0.60375786,-5.5193954,-2.0124252,-9.981872,-6.134256,-8.912834,-10.058134,-2.4265094,-2.3563547,-0.65143734,-3.6591074,-4.2681446,-5.6017914,-2.0717864,-1.5675945,-10.722463,-4.9054356,-6.1115932,-4.2803206,1.1686245,-2.7981756,-3.181263,-1.6708212,-10.1197815,-4.5285845,-3.5772283,-4.5865884,-2.2851753,-5.7066116,-4.3951354,-4.83672,0.4175619,-2.3282514,-4.601644,-4.4039526,-3.703688,-4.745065,-7.876576,-9.309779,-5.328382
520,-0.40023002,-2.941449,-0.9859145,-8.268985,-5.043807,-8.12213,-9.2824955,-2.5585039,-1.4008546,-2.1235359,-3.1730816,-3.9036524,-4.790117,-0.9715376,-0.73707813,-9.133906,-5.371588,-5.3691487,-2.6590242,-0.60843176,-2.335462,-2.552338,-1.653617,-10.395313,-4.396056,-1.0758232,-5.378245,-0.54252696,-4.134517,-4.0899196,-4.2142196,0.33700854,-3.1284485,-3.4386308,-3.6317759,-3.8285713,-2.0432386,-7.273183,-8.858102,-4.909497
527,0.14170435,-1.5127267,-0.67345536,-7.18525,-4.1564226,-7.9970007,-9.529651,-1.961002,-1.8975188,-2.2891326,-2.626281,-2.896974,-4.1874485,-0.30583718,-0.78989965,-8.802659,-5.4772277,-6.153581,-1.431357,0.09235945,-2.8262224,-2.3807535,-1.7704548,-10.317445,-5.4281354,-0.95220673,-5.138312,-0.472301,-4.8968463,-4.3529673,-4.5946336,0.40701774,-4.1473293,-3.4710648,-4.040077,-3.6249576,-1.013093,-7.2330365,-8.615371,-5.1285295
535,-0.94779027,0.21485214,-0.26095936,-4.6595693,-3.139849,-7.0453744,-8.283327,-1.2659339,-1.873988,-3.0344744,-1.4618446,-2.010136,-3.274457,-0.13859327,-0.9154966,-6.284068,-5.0614333,-6.7574706,-0.22779387,-0.96750677,-3.1055675,-1.5963293,-0.999279,-10.47677,-6.2748423,0.59520626,-3.9829073,0.075074896,-5.141766,-4.8360825,-4.8617353,-0.23396417,-3.459493,-3.2797654,-2.6641932,-3.2526178,0.904798,-6.3170533,-7.9844365,-4.7206383
543,-1.5506458,1.6828239,0.400034,-3.5664744,-2.0372999,-6.8868876,-7.290155,-1.0047116,-2.5904682,-3.392384,-0.577298,-0.7735679,-3.833303,0.335534,-1.5922686,-3.9141057,-4.8986487,-6.9733534,1.259044,-1.4643133,-4.705909,-1.1183645,-0.9478762,-10.708475,-7.403955,0.77425283,-2.167149,1.1305082,-5.3145657,-4.8367615,-4.3024993,-0.70570004,-2.7870734,-3.2402964,-1.5027162,-2.5003452,2.032675,-5.816182,-7.733712,-3.3321128
551,-1.1200761,2.208094,1.0214275,-1.9796104,-1.363482,-6.3532753,-6.4866705,-1.0796802,-2.5586247,-3.2851284,-0.09187739,0.32573742,-3.625307,0.5895266,-1.9791433,-1.9895827,-4.7460446,-7.533046,1.4736547,-0.21253663,-5.564144,-0.6707933,-1.157426,-10.1939335,-8.340969,0.7758113,-0.84255815,0.8674534,-6.2553864,-4.552,-4.3181868,-0.5984295,-2.4779763,-4.023304,-1.1766043,-1.9161754,2.0685477,-5.458931,-6.8907733,-2.2731013
559,-1.2609183,1.9808543,0.98686063,-2.0230284,-1.6241885,-6.1519575,-6.5227346,-1.1772685,-2.566955,-3.357564,0.10748584,0.43451527,-3.7699728,0.6899613,-1.6761578,-2.527755,-4.2068787,-7.4164166,1.4512647,-0.09265872,-5.4116917,-0.7339097,-1.0242033,-10.249053,-8.227685,0.85268384,-0.8267098,0.8444844,-6.2747364,-4.369923,-4.229312,-0.3399255,-2.3579543,-3.9682686,-0.9882865,-1.4811802,2.2531126,-5.901382,-6.7194896,-2.6290004
567,-1.4656277,1.8130264,0.99880505,-1.7224739,-1.5607991,-6.3342576,-6.8306713,-1.3092488,-2.255577,-3.1959352,0.44961414,0.97752863,-3.9172673,0.50563216,-1.5299518,-1.9501395,-3.7821715,-7.144569,1.4316297,0.5314565,-5.1447377,-0.5738496,-1.3155687,-10.15686,-7.627377,0.7589087,-0.12442689,0.7282545,-5.8267474,-4.0456533,-4.33782,-0.3664964,-1.8162278,-3.7470691,-1.0022584,-1.1237743,2.0685651,-6.088793,-6.2149296,-2.18146
575,-0.38201746,1.6056215,1.3183968,-1.7137989,-1.4688357,-6.94493,-7.2122235,-1.3112125,-2.5853767,-2.858303,0.8382591,1.5281564,-5.2256837,0.8129645,-2.2227452,-0.8862581,-3.7131283,-7.6594224,1.4234236,1.5011915,-5.699025,-0.8726524,-1.6299801,-10.288084,-8.354863,-0.17974041,0.6831077,0.14263707,-6.429125,-3.216612,-4.4130697,-0.6737086,-1.532204,-4.844949,-0.6841678,-0.34163508,1.0106474,-6.6714478,-6.0864396,-0.944804
584,-0.41665122,1.1926724,1.7608423,-1.9214165,-1.5727923,-7.0570664,-7.255137,-1.5086143,-2.7760956,-2.8173015,0.86789036,1.4329414,-6.47446,0.55101395,-2.859704,-0.26650062,-3.1674526,-7.466023,1.0680155,1.4549822,-6.377782,-1.0426239,-2.092403,-10.286997,-8.250802,-0.49875972,0.91698503,-0.03954232,-6.459197,-2.105515,-4.244592,-0.99081457,-0.9890402,-5.467242,-0.65631795,0.06058278,0.53943473,-6.9280777,-5.9355636,-0.47824055
592,-0.5465388,0.593223,1.2503449,-2.49595,-1.8579445,-7.427331,-7.2629066,-1.6519039,-2.4529388,-2.844646,0.5695244,0.49924543,-6.5068464,0.374018,-2.2813404,-1.956521,-2.8802416,-7.1163726,0.6932833,0.90031487,-6.231396,-1.3193179,-1.7941588,-9.639975,-6.868726,-0.5692731,-0.04617138,-0.16753347,-5.6182075,-1.2527248,-4.353276,-1.1371672,-0.84395844,-4.9512377,-0.9962762,0.02991339,-0.0024142081,-6.860922,-5.52946,-0.46780327
601,-0.55722123,0.5078159,1.213399,-1.7558769,-1.4826732,-7.088093,-7.024066,-1.5576015,-2.270058,-2.8308325,0.56129843,0.5052134,-6.6384764,0.08655849,-1.888224,-0.9142074,-2.394999,-7.2260303,0.65303683,0.71130884,-6.385664,-1.3266938,-1.6782154,-9.714267,-6.559967,-0.84581584,0.29961762,-0.7801111,-5.7132235,-0.3382944,-4.111097,-1.2455121,-0.4788126,-4.8887486,-0.8002718,0.62924093,-0.14405468,-6.709325,-5.386549,0.11808206
