,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10
407,0.0014634511648084485,0.00283977432798967,0.007348301449883426,-9.660462107910901e-05,0.007893842235069995,0.0026758839796710964,0.0039924282481910624,-0.004314104121379592,-0.0007150548284168773,-0.004928591887277371
416,0.0020620560416916055,0.003589163821190701,0.006445096714934362,-0.00029341237606164895,0.007103631736821911,0.0025949024095280825,0.0031350743121991054,-0.001646910758504314,-0.0015401519945598093,-0.0013912020404148193
424,0.002715555368482806,0.0037519640515737583,0.00724524659082811,-0.0005551935469339332,0.006609580981016942,0.0024952343763282505,0.002302754638821597,-0.0004298776246490023,-0.0013596470661758507,0.00022802260305364742
431,0.0026234268070811683,0.005396728122952095,0.004602189353310167,-0.0009355346948084773,0.006208138809144246,0.0018639397438302673,0.0014207312740505402,2.9613739888946005e-05,-0.0011647187171573022,0.0007144179080637724
439,0.0028510930322280087,0.005102077488624521,0.006106874273741375,-0.00091427134873763,0.005830522549932127,0.0016752326643029974,0.0012459255182999955,-0.0006882942572399511,4.36213748825293e-05,0.00037824355859983875
446,0.0025248359462275126,0.006530227115933277,0.004042093939456191,-0.0009688702197592681,0.00538461391412729,0.0011790733296564203,0.001038609272308634,-0.0005685311282944507,0.0003931826190536737,0.0013059368753749177
453,0.0025501100754432692,0.007293234868711833,0.003416260360522376,-0.0011679340526279099,0.005169009742842601,0.0011660491917209752,0.0006910701874030346,-0.00013964447618989407,0.0003500336847124429,0.0015622692141834267
461,0.00246678945237902,0.007967539817950026,0.002426100575017843,-0.0012188187861009126,0.004954676763467273,0.0007932699916956684,0.000543822244483887,0.0001588208358385647,0.00023058544118142297,0.0012980553875958077
468,0.0024988427555772534,0.00821661957172825,0.0023072005811872287,-0.001384960517725872,0.004730347134024776,0.0010145106566450217,0.0002125677424513794,0.0003245450027125278,-2.4449773126310475e-05,0.0010550627024958077
475,0.002777405033779137,0.008264193055170234,0.0034806668792392906,-0.00134844078780603,0.004638581608296449,0.0011467115421322377,8.270500320499899e-05,0.00022355445406615256,0.00035111758022002856,0.0010568898714822567
483,0.002590469373278221,0.009059698592298935,0.002372447319223069,-0.001370882017914373,0.004372407153981826,0.0009086982215292332,-0.00013687087963983757,0.0002838595612861631,0.0003962598095798196,0.0012130794982713273
490,0.0030430986852162693,0.008691637724404594,0.004316737114454001,-0.001317743243076317,0.004320079657930486,0.0011039415227396014,-0.00011416698346625317,0.00018020292925386176,0.0004022469563147989,0.00045741936141550433
497,0.0028582430216332376,0.00987737497778009,0.0023693696717645993,-0.0015177237289702929,0.003891492565915038,0.0006990021472324562,-0.0005235058023385661,0.0002839661657360034,0.0005139757291856864,0.0011132666217898428
505,0.0036198613375205357,0.010164607582790735,0.0036690190785308896,-0.0016841551432965997,0.0035654555400349962,0.0007353163453806986,-0.0004524009659093987,0.00041701443471150275,0.0004407051693692963,0.0009756537125872326
512,0.004151445445658731,0.011416004828566221,0.002010968125954092,-0.002102462527221912,0.002962756532335057,0.00047256298704823844,-0.0006278363117690123,0.0005116961882763424,0.0004220969004731711,0.0011772765266234854
